scooter_id,scooter_make,scooter_model,purchased_date,comissioned_date,last_serviced_date,last_serviced_engineer_id
4b08a0cb-4aa8-42aa-bab0-201eb87f6aa6,Scoots Magoots,Magooter 5000,2021-07-20,2021-08-01,2023-08-21,5015
a666d937-dbec-47de-a71c-863d7e3640f5,Motoflyer,Aerobike 2.1,2020-03-22,2020-04-14,2023-09-19,5022
45fa8854-f572-40ed-8bac-f61f25d9789b,Scoots Magoots,Magooter A1V,2021-12-21,2022-02-10,2023-11-08,5035
aecb81d9-a883-4e25-aa13-c97b4e6b0ec0,Motoflyer,Aerobike 2.1,2021-09-12,2021-10-09,2023-10-16,5002
7edc4df7-91f6-407b-ae8d-159a5659fc20,Motoflyer,Aerobike 2,2020-05-21,2020-07-10,2023-10-09,5001
fb2ab776-6709-4e87-a4d8-76864fa20bb3,Scoots Magoots,Magooter A1V,2021-01-15,2021-02-08,2023-09-13,5039
17b5b4f5-ed27-4670-a500-04d6bc97ccad,Scoots Magoots,Magooter A1V,2021-06-09,2021-07-03,2023-10-12,5023
e4161eee-10e3-444d-9fbe-c82b9bd9dd93,Condor,SL3,2020-09-19,2020-10-10,2023-10-29,5014
9227337a-4a58-4092-8a27-cc1df73f7b8f,Condor,SL4,2020-05-16,2020-06-13,2023-11-08,5019
7fb660ca-3be1-4a06-b426-1b03f0e22ff7,Condor,SL4,2021-03-23,2021-04-29,2023-10-15,5018
f68569d2-426d-42ce-ab86-75516d2b699b,Condor,SL4,2021-09-06,2021-09-19,2023-08-19,5050
39b1a8ec-77d9-4b43-8622-a4b10098a628,Lemon,Pie 2000,2020-02-15,2020-03-03,2023-11-08,5006
f7d63344-4be7-40ff-86b6-4417dc857822,Lemon,Drop 1000,2021-04-04,2021-04-12,2023-10-20,5045
58da5293-e14d-4ae4-ba5d-7a18cde02925,Scoots Magoots,Magooter A1X,2021-07-17,2021-08-25,2023-09-20,5039
e1bfe785-b75d-46cd-b570-81c0b792c9dd,Motoflyer,Aerobike 2.1,2020-08-05,2020-09-24,2023-08-06,5029
7894d93d-da73-4519-b62e-4fa4b510d79d,Condor,SL3,2021-02-27,2021-03-24,2023-08-11,5038
2742179f-696d-48ee-9a19-467aab6d3910,Condor,SL3,2020-01-24,2020-02-26,2023-10-14,5044
0a387d80-ef0f-4738-9865-bcb9b8c046c9,Lemon,Drop 1000,2021-06-17,2021-07-02,2023-09-17,5008
32c95ffd-24f4-435c-8011-c24760d465a8,Scoots Magoots,Magooter A1X,2021-08-03,2021-10-02,2023-09-07,5006
ed7c1583-93cf-4ad8-8f1d-8d83458a299b,Condor,SL3,2020-11-11,2020-12-12,2023-08-21,5037
0c44ec3e-3fe6-4c3a-bca4-fa710eee9ecd,Scoots Magoots,Magooter A1V,2020-01-23,2020-01-30,2023-11-09,5027
787e7cc4-2af8-4fe4-b95b-ffa285250173,Lemon,Pie 2000,2021-06-16,2021-08-14,2023-11-02,5025
5ddd51c5-6534-44bc-b204-bd59e55d5aba,Scoots Magoots,Magooter A1V,2021-10-02,2021-11-25,2023-09-23,5037
9271cc80-9c71-4c6b-ba98-0b58e7ce1d36,Condor,SL4,2020-01-07,2020-02-14,2023-11-02,5043
a207a1cc-5721-41a7-98a3-2f2c4f1f7373,Condor,SL2,2021-04-24,2021-05-31,2023-10-07,5022
24725e88-1e0c-4741-bcb9-4dd707ebc6c2,Scoots Magoots,Magooter 5000,2021-06-16,2021-07-16,2023-11-18,5041
3a8bd387-5035-4f4d-bd5a-b159d1f6865d,Lemon,Drop 1000,2021-12-13,2021-12-19,2023-10-19,5025
94feca28-6c1c-4db2-820a-1f6a09ec1325,Condor,SL4,2021-11-03,2021-12-14,2023-09-05,5031
53ed35e8-1c77-4c61-afc3-eebf191b9dc1,Scoots Magoots,Magooter A1V,2020-05-04,2020-05-17,2023-10-11,5045
01995865-134d-4869-b0f9-675884ba3d9f,Motoflyer,Aerobike 2.1,2020-09-25,2020-11-22,2023-10-06,5023
bfa06983-3d89-4faf-8da8-b51578fb0342,Scoots Magoots,Magooter 5000,2021-09-21,2021-10-11,2023-08-03,5047
4e3f555f-009e-42f1-bc4d-cac74a0b694f,Lemon,Drop 1000,2021-04-11,2021-04-22,2023-11-17,5048
ca3a8b2c-e70f-4f58-8649-898effb605fb,Lemon,Drop 1000,2021-02-15,2021-03-12,2023-10-25,5001
30a39638-a459-4e51-8aee-53d663cf0e5d,Condor,SL3,2021-07-31,2021-09-04,2023-10-06,5018
2fc1bcdf-617f-4d54-b4c9-bba61c839651,Motoflyer,Aerobike 2,2021-05-27,2021-06-29,2023-09-17,5019
bd023ac1-9dfa-4299-b71e-faa304e3ec0c,Condor,SL2,2020-06-17,2020-07-08,2023-08-07,5005
5feb5c96-9258-4c34-8553-65decea79f4e,Condor,SL2,2021-06-23,2021-07-04,2023-09-22,5020
4640a8d1-ad22-4d3f-b4eb-716b342c96fc,Lemon,Drop 1000,2021-08-17,2021-09-01,2023-09-17,5006
c673d9aa-305b-4e3c-946e-a0d788228f08,Condor,SL4,2021-04-24,2021-06-04,2023-10-30,5011
a626ab5f-56f0-41d0-ab31-e06a09fef27b,Motoflyer,Aerobike 2,2021-07-14,2021-07-21,2023-11-13,5010
2f50ca46-1845-4fd2-ae9d-94b6f7ef028d,Condor,SL4,2021-07-08,2021-09-03,2023-09-16,5021
29ad9683-395c-41f1-9580-0cbb577bf198,Lemon,Drop 1000,2022-01-15,2022-03-07,2023-11-19,5038
d8d90750-01a7-4abf-b77a-f7df42a62aff,Condor,SL3,2021-04-07,2021-05-21,2023-10-26,5006
af577b40-d04f-4a8a-a6df-35deaf082cb8,Condor,SL3,2020-11-28,2020-12-09,2023-10-02,5006
17f391bc-3aca-4257-8e8f-fdd8744b6e87,Condor,SL3,2020-10-18,2020-11-30,2023-08-26,5018
363976fe-ebfb-4a07-8c81-7fb450a2b109,Condor,SL4,2020-05-15,2020-06-10,2023-08-18,5011
cd3501d5-ac7c-44d7-8d6f-06e7184c5a66,Motoflyer,Aerobike 2.1,2021-01-24,2021-02-23,2023-10-20,5032
b3cba058-d676-47cc-9395-38d9b0b6c2c6,Condor,SL2,2020-10-22,2020-11-14,2023-08-23,5022
14b79177-ce56-45a9-8847-84acc565d40b,Condor,SL4,2021-07-30,2021-09-12,2023-09-04,5043
453f9292-a416-4e90-9ffc-9b304a648cd0,Lemon,Pie 2000,2021-11-25,2021-12-31,2023-08-30,5027
0ff452a0-d8d0-40bd-a9f4-266de08e7b86,Motoflyer,Aerobike 2.1,2020-10-07,2020-11-27,2023-10-31,5017
001c4a90-88c6-4a83-b91a-e1193f4f2d5c,Scoots Magoots,Magooter 5000,2021-07-04,2021-07-31,2023-09-16,5002
b50ea88e-281a-4e52-88e4-3d735e690ebb,Scoots Magoots,Magooter A1X,2021-12-20,2022-02-08,2023-09-18,5014
3ddff978-ac08-455f-a6b9-23f2af84568b,Condor,SL4,2020-06-13,2020-07-31,2023-08-08,5035
5a0250d8-3668-4d2d-9aa3-adb4fd421822,Condor,SL3,2020-01-20,2020-03-17,2023-08-16,5028
34319a7b-0637-4b96-b428-2ce8c0caa4e9,Motoflyer,Aerobike 2,2021-09-01,2021-09-28,2023-08-07,5011
bd51a586-b02a-4128-9040-764eafb37839,Scoots Magoots,Magooter A1X,2020-05-01,2020-05-15,2023-11-04,5016
b55e77a4-f583-464b-9056-400080e94f26,Condor,SL4,2020-03-03,2020-04-25,2023-10-17,5031
8a683cab-7dca-439c-9cf6-f3f39a2564b0,Lemon,Pie 2000,2021-07-17,2021-08-22,2023-08-05,5045
9e80c1d8-387c-4391-95bf-57dd63a0e507,Lemon,Drop 1000,2020-04-07,2020-05-11,2023-11-07,5012
